Baseline Charge Report
Outward Guarantee
,
Reference No,Event Name,Customer ID,Customer Name,Transaction Date,Expiry Date,Charge CCY,Charge Amount,Collecting CCY,Collected Amount,Equal Local Ccy Amount,Outstanding Amount
GT03756BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03756BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,32.08,USD,0.00,32.08,32.08
GT03756BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,24.06,USD,0.00,24.06,24.06
GT03757BEDV,Guarantee Commission,C007245,ABC,08/19/2022,,USD,23.68,USD,0.00,23.68,23.68
GT03757BEDV,Postage,C007245,ABC,08/19/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03757BEDV,Postage,C007245,ABC,08/19/2022,,USD,20.00,USD,0.00,20.00,20.00
,,,,,,,,,,,,
GT03757BEDV,Postage,C007245,ABC,08/19/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03757BEDV,Guarantee Commission,C007245,ABC,08/19/2022,,USD,31.70,USD,0.00,31.70,31.70
GT03758BEDV,Guarantee Commission,C007245,ABC,09/09/2022,,USD,15.66,USD,0.00,15.66,15.66
GT03758BEDV,Postage,C007245,ABC,09/09/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03758BEDV,Postage,C007245,ABC,09/09/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03759BEDV,Postage,C007245,ABC,03/28/2024,10/20/2022,USD,20.00,USD,0.00,20.00,20.00
GT03759BEDV,Guarantee Commission,C007245,ABC,03/28/2024,10/20/2022,USD,15.66,USD,0.00,15.66,15.66
GT03762BEDV,Postage,C007245,ABC,09/09/2022,10/20/2022,USD,20.00,USD,0.00,20.00,20.00
GT03762BEDV,Guarantee Commission,C007245,ABC,09/09/2022,10/20/2022,USD,15.66,USD,0.00,15.66,15.66
GT03763BEDV,Guarantee Commission,C007245,ABC,09/09/2022,,USD,23.68,USD,0.00,23.68,23.68
GT03763BEDV,Postage,C007245,ABC,09/09/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03763BEDV,Postage,C007245,ABC,09/09/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03763BEDV,Guarantee Commission,C007245,ABC,09/09/2022,,USD,15.66,USD,0.00,15.66,15.66
GT03763BEDV,Postage,C007245,ABC,09/09/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03764BEDV,Postage,,BANK33,09/16/2022,04/26/2023,USD,20.00,USD,0.00,20.00,20.00
GT03764BEDV,Guarantee Commission,,BANK33,09/15/2022,04/26/2023,USD,425.87,USD,0.00,425.87,425.87
GT03764BEDV,Postage,,BANK33,09/15/2022,04/26/2023,USD,20.00,USD,0.00,20.00,20.00
GT03765BEDV,Guarantee Commission,C007245,ABC,09/17/2022,,USD,20.63,USD,0.00,20.63,20.63
GT03765BEDV,Postage,C007245,ABC,09/17/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03765BEDV,Guarantee Commission,C007245,ABC,09/17/2022,,USD,12.60,USD,0.00,12.60,12.60
GT03765BEDV,Postage,C007245,ABC,09/17/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03765BEDV,Postage,C007245,ABC,09/17/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03768BEDV,Guarantee Commission,C007245,ABC,10/24/2022,,USD,6.49,USD,0.00,6.49,6.49
GT03768BEDV,Postage,C007245,ABC,10/24/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03768BEDV,Postage,C007245,ABC,10/24/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03768BEDV,Postage,C007245,ABC,10/24/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03768BEDV,Guarantee Commission,C007245,ABC,10/24/2022,,USD,14.51,USD,0.00,14.51,14.51
GT03769BEDV,Guarantee Commission,C007245,ABC,10/24/2022,,USD,6.49,USD,0.00,6.49,6.49
GT03769BEDV,Postage,C007245,ABC,10/24/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03769BEDV,Postage,C007245,ABC,10/24/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03769BEDV,Guarantee Commission,C007245,ABC,10/24/2022,,USD,14.51,USD,0.00,14.51,14.51
GT03769BEDV,Postage,C007245,ABC,10/24/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03770BEDV,Postage,C007245,ABC,10/25/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03770BEDV,Postage,C007245,ABC,10/25/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03770BEDV,Guarantee Commission,C007245,ABC,10/25/2022,,USD,11.84,USD,0.00,11.84,11.84
GT03771BEDV,Guarantee Commission,C007245,ABC,10/25/2022,,USD,19.86,USD,0.00,19.86,19.86
GT03771BEDV,Guarantee Commission,C007245,ABC,10/25/2022,,USD,11.84,USD,0.00,11.84,11.84
GT03771BEDV,Postage,C007245,ABC,10/25/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03771BEDV,Postage,C007245,ABC,10/25/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03771BEDV,Postage,C007245,ABC,10/25/2022,,USD,20.00,USD,0.00,20.00,20.00
,,,,,,,,,,,,
GT03772BEDV,Postage,C007245,ABC,10/25/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03772BEDV,Guarantee Commission,C007245,ABC,10/25/2022,,USD,19.86,USD,0.00,19.86,19.86
GT03772BEDV,Postage,C007245,ABC,10/25/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03772BEDV,Postage,C007245,ABC,10/25/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03772BEDV,Guarantee Commission,C007245,ABC,10/25/2022,,USD,11.84,USD,0.00,11.84,11.84
GT03773BEDV,Postage,C007245,ABC,10/26/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03773BEDV,Postage,C007245,ABC,10/26/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03773BEDV,Guarantee Commission,C007245,ABC,10/26/2022,,USD,13.75,USD,0.00,13.75,13.75
GT03773BEDV,Postage,C007245,ABC,10/26/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03773BEDV,Guarantee Commission,C007245,ABC,10/26/2022,,USD,5.73,USD,0.00,5.73,5.73
GT03774BEDV,Postage,C007245,ABC,10/26/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03774BEDV,Guarantee Commission,C007245,ABC,10/26/2022,,USD,5.73,USD,0.00,5.73,5.73
GT03774BEDV,Postage,C007245,ABC,10/26/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03774BEDV,Postage,C007245,ABC,02/12/2025,,USD,20.00,USD,20.00,20.00,0.00
GT03775BEDV,Guarantee Commission,C007245,ABC,10/26/2022,,USD,5.73,USD,0.00,5.73,5.73
GT03775BEDV,Postage,C007245,ABC,10/26/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03775BEDV,Postage,C007245,ABC,10/26/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03775BEDV,Guarantee Commission,C007245,ABC,10/26/2022,,USD,13.75,USD,0.00,13.75,13.75
GT03775BEDV,Postage,C007245,ABC,10/26/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03776BEDV,Postage,C007245,ABC,10/27/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03776BEDV,Guarantee Commission,C007245,ABC,10/27/2022,,USD,13.37,USD,0.00,13.37,13.37
GT03776BEDV,Guarantee Commission,C007245,ABC,10/27/2022,,USD,5.35,USD,0.00,5.35,5.35
GT03776BEDV,Postage,C007245,ABC,10/27/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03776BEDV,Postage,C007245,ABC,10/27/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03777BEDV,Postage,C007245,ABC,10/28/2022,11/10/2022,USD,20.00,USD,0.00,20.00,20.00
GT03777BEDV,Guarantee Commission,C007245,ABC,10/28/2022,11/10/2022,USD,4.97,USD,0.00,4.97,4.97
GT03778BEDV,Postage,C007245,ABC,10/28/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03778BEDV,Postage,C007245,ABC,10/28/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03778BEDV,Guarantee Commission,C007245,ABC,10/28/2022,,USD,12.99,USD,0.00,12.99,12.99
GT03778BEDV,Postage,C007245,ABC,10/28/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03778BEDV,Guarantee Commission,C007245,ABC,10/28/2022,,USD,4.97,USD,0.00,4.97,4.97
GT03779BEDV,Postage,C007245,ABC,10/28/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03779BEDV,Guarantee Commission,C007245,ABC,10/28/2022,,USD,12.99,USD,0.00,12.99,12.99
GT03779BEDV,Guarantee Commission,C007245,ABC,10/28/2022,,USD,4.97,USD,0.00,4.97,4.97
GT03779BEDV,Postage,C007245,ABC,10/28/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03779BEDV,Postage,C007245,ABC,10/28/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03780BEDV,Postage,C007245,ABC,11/10/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03780BEDV,Guarantee Commission,C007245,ABC,11/10/2022,,USD,8.40,USD,0.00,8.40,8.40
GT03780BEDV,Guarantee Commission,C007245,ABC,11/10/2022,,USD,0.38,USD,0.00,0.38,0.38
GT03780BEDV,Postage,C007245,ABC,11/10/2022,,USD,20.00,USD,0.00,20.00,20.00
,,,,,,,,,,,,
GT03780BEDV,Postage,C007245,ABC,11/10/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03781BEDV,Guarantee Commission,C007245,ABC,12/09/2022,,USD,16.04,USD,0.00,16.04,16.04
GT03781BEDV,Postage,C007245,ABC,12/09/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03781BEDV,Postage,C007245,ABC,12/09/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03781BEDV,Guarantee Commission,C007245,ABC,12/09/2022,,USD,8.02,USD,0.00,8.02,8.02
GT03781BEDV,Postage,C007245,ABC,12/09/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03782BEDV,Postage,C007245,ABC,12/22/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03782BEDV,Guarantee Commission,C007245,ABC,12/22/2022,,USD,3.06,USD,0.00,3.06,3.06
GT03782BEDV,Postage,C007245,ABC,12/22/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03782BEDV,Guarantee Commission,C007245,ABC,12/22/2022,,USD,11.08,USD,0.00,11.08,11.08
GT03782BEDV,Postage,C007245,ABC,12/22/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03783BEDV,Postage,C007245,ABC,01/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03783BEDV,Guarantee Commission,C007245,ABC,01/30/2023,,USD,0.38,USD,0.00,0.38,0.38
GT03783BEDV,Postage,C007245,ABC,01/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03784BEDV,Guarantee Commission,C007245,ABC,01/30/2023,,USD,0.38,USD,0.00,0.38,0.38
GT03784BEDV,Postage,C007245,ABC,01/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03784BEDV,Postage,C007245,ABC,01/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03785BEDV,Postage,C007245,ABC,01/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03785BEDV,Postage,C007245,ABC,01/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03785BEDV,Guarantee Commission,C007245,ABC,01/30/2023,,USD,8.40,USD,0.00,8.40,8.40
GT03785BEDV,Postage,C007245,ABC,01/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03785BEDV,Guarantee Commission,C007245,ABC,01/30/2023,,USD,0.38,USD,0.00,0.38,0.38
GT03786BEDV,Guarantee Commission,C007245,ABC,06/26/2023,01/25/2024,USD,81.35,USD,0.00,81.35,81.35
GT03786BEDV,Postage,C007245,ABC,06/26/2023,01/25/2024,USD,20.00,USD,0.00,20.00,20.00
GT03787BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03787BEDV,Guarantee Commission,C007245,ABC,03/31/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03787BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03788BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03788BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03788BEDV,Postage,C007245,ABC,01/06/2025,,USD,20.00,USD,0.00,20.00,20.00
GT03788BEDV,Guarantee Commission,C007245,ABC,03/31/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03789BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03789BEDV,Guarantee Commission,C007245,ABC,03/31/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03789BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03790BEDV,Guarantee Commission,C007245,ABC,03/31/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03790BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03790BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03791BEDV,Guarantee Commission,C007245,ABC,03/31/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03791BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03791BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
,,,,,,,,,,,,
GT03792BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03792BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03792BEDV,Postage,C007245,ABC,03/31/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03792BEDV,Guarantee Commission,C007245,ABC,03/31/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03792BEDV,Guarantee Commission,C007245,ABC,03/31/2023,,USD,122.60,USD,0.00,122.60,122.60
GT03793BEDV,Guarantee Commission,C007245,ABC,04/03/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03793BEDV,Postage,C007245,ABC,04/03/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03793BEDV,Guarantee Commission,C007245,ABC,04/03/2023,,USD,122.99,USD,0.00,122.99,122.99
GT03793BEDV,Postage,C007245,ABC,04/03/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03793BEDV,Postage,C007245,ABC,04/03/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03797BEDV,Guarantee Commission,C007245,ABC,06/30/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03797BEDV,Postage,C007245,ABC,06/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03797BEDV,Postage,C007245,ABC,06/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03797BEDV,Guarantee Commission,C007245,ABC,06/30/2023,,USD,122.60,USD,0.00,122.60,122.60
GT03797BEDV,Postage,C007245,ABC,06/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03798BEDV,Guarantee Commission,C007245,ABC,06/30/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03798BEDV,Postage,C007245,ABC,06/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03798BEDV,Postage,C007245,ABC,06/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03798BEDV,Guarantee Commission,C007245,ABC,06/30/2023,,USD,122.60,USD,0.00,122.60,122.60
GT03798BEDV,Postage,C007245,ABC,06/30/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03803BEDV,Guarantee Commission,C006631,ABC,07/19/2023,,USD,1.44,USD,0.00,1.44,1.44
GT03803BEDV,Postage,C006631,ABC,07/19/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03804BEDV,Postage,C006631,ABC,07/19/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03805BEDV,Postage,C006672,ABC,07/19/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03807BEDV,Postage,C006631,ABC,08/01/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03807BEDV,Postage,C006631,ABC,07/19/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03807BEDV,Postage,C006631,ABC,08/28/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03807BEDV,Postage,C006631,ABC,07/19/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03807BEDV,Guarantee Commission,C006631,ABC,07/19/2023,,USD,1.27,USD,0.00,1.27,1.27
GT03807BEDV,Postage,C006631,ABC,08/07/2023,,USD,20.00,USD,0.00,0.00,0.00
GT03809BEDV,Guarantee Commission,C007277,SWIFT001,08/03/2023,,USD,"5 652.78",USD,0.00,"5 652.78","5 652.78"
GT03809BEDV,Postage,C007277,SWIFT001,08/03/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03810BEDV,Postage,C007277,SWIFT001,08/04/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03810BEDV,Guarantee Commission,C007277,SWIFT001,08/04/2023,,USD,"5 614.58",USD,0.00,"5 614.58","5 614.58"
GT03811BEDV,Guarantee Commission,C007277,SWIFT001,08/07/2023,,USD,"5 500.00",USD,0.00,0.00,0.00
GT03811BEDV,Postage,C007277,SWIFT001,08/07/2023,,USD,20.00,USD,0.00,0.00,0.00
GT03813BEDV,Guarantee Commission,C007277,SWIFT001,08/08/2023,,USD,"5 461.81",USD,0.00,0.00,0.00
GT03813BEDV,Postage,C007277,SWIFT001,01/03/2025,,USD,20.00,USD,0.00,20.00,20.00
GT03813BEDV,Postage,C007277,SWIFT001,08/08/2023,,USD,20.00,USD,0.00,0.00,0.00
GT03815BEDV,Postage,C007277,SWIFT001,08/10/2023,,USD,20.00,USD,0.00,20.00,20.00
,,,,,,,,,,,,
GT03815BEDV,Postage,C007277,SWIFT001,08/28/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03815BEDV,Guarantee Commission,C007277,SWIFT001,08/10/2023,,USD,"5 385.42",USD,0.00,"5 385.42","5 385.42"
GT03816BEDV,Postage,C007245,ABC,09/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03816BEDV,Postage,C007245,ABC,09/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03816BEDV,Postage,C007245,ABC,09/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03816BEDV,Guarantee Commission,C007245,ABC,09/24/2023,,USD,36.28,USD,0.00,36.28,36.28
GT03816BEDV,Guarantee Commission,C007245,ABC,09/24/2023,,USD,44.31,USD,0.00,44.31,44.31
GT03816BEDV,Postage,C007245,ABC,09/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03817BEDV,Postage,C007245,ABC,09/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03817BEDV,Guarantee Commission,C007245,ABC,09/24/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03817BEDV,Postage,C007245,ABC,09/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03818BEDV,Postage,C007245,ABC,10/10/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03818BEDV,Guarantee Commission,C007245,ABC,10/10/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03818BEDV,Postage,C007245,ABC,10/10/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03818BEDV,Guarantee Commission,C007245,ABC,10/10/2023,,USD,122.60,USD,0.00,122.60,122.60
GT03818BEDV,Postage,C007245,ABC,10/10/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03821BEDV,Guarantee Commission,C007245,ABC,10/13/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03821BEDV,Postage,C007245,ABC,10/13/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03821BEDV,Guarantee Commission,C007245,ABC,10/13/2023,,USD,122.60,USD,0.00,122.60,122.60
GT03821BEDV,Postage,C007245,ABC,10/13/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03821BEDV,Postage,C007245,ABC,10/13/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03825BEDV,Guarantee Commission,C007245,ABC,10/24/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03825BEDV,Postage,C007245,ABC,10/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03825BEDV,Postage,C007245,ABC,10/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03825BEDV,Guarantee Commission,C007245,ABC,10/24/2023,,USD,122.60,USD,0.00,122.60,122.60
GT03825BEDV,Postage,C007245,ABC,10/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03828BEDV,Postage,C007245,ABC,10/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03828BEDV,Postage,C007245,ABC,10/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03828BEDV,Guarantee Commission,C007245,ABC,10/24/2023,,USD,122.60,USD,0.00,122.60,122.60
GT03828BEDV,Postage,C007245,ABC,10/24/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03828BEDV,Guarantee Commission,C007245,ABC,10/24/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03829BEDV,Guarantee Commission,C007245,ABC,10/25/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03829BEDV,Postage,C007245,ABC,10/25/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03829BEDV,Postage,C007245,ABC,10/25/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03830BEDV,Guarantee Commission,C007245,ABC,10/25/2023,,USD,114.58,USD,0.00,114.58,114.58
GT03830BEDV,Postage,C007245,ABC,10/25/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03830BEDV,Postage,C007245,ABC,10/25/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03830BEDV,Guarantee Commission,C007245,ABC,10/25/2023,,USD,122.60,USD,0.00,122.60,122.60
GT03830BEDV,Postage,C007245,ABC,10/25/2023,,USD,20.00,USD,0.00,20.00,20.00
GT03836BEDV,Postage,BUYER,BUYER NAME,12/26/2023,12/31/2024,USD,20.00,USD,0.00,20.00,20.00
,,,,,,,,,,,,
GT03837BEDV,Postage,BUYER,BUYER NAME,12/27/2023,12/31/2024,USD,20.00,USD,0.00,20.00,20.00
GT03837BEDV,Postage,BUYER,BUYER NAME,12/27/2023,12/31/2024,USD,20.00,USD,20.00,20.00,0.00
GT03838BEDV,Postage,BUYER,BUYER NAME,12/28/2023,06/30/2024,USD,20.00,USD,20.00,20.00,0.00
GT03838BEDV,Postage,BUYER,BUYER NAME,12/28/2023,06/30/2024,USD,20.00,USD,20.00,20.00,0.00
GT03849BEDV,Postage,C006631,ABC,03/07/2024,,USD,20.00,USD,0.00,20.00,20.00
GT03849BEDV,Guarantee Commission,C006631,ABC,03/07/2024,,USD,705.07,USD,0.00,705.07,705.07
GT03860BEDV,Postage,BUYER,BUYER NAME,04/10/2024,06/28/2024,USD,20.00,USD,20.00,20.00,0.00
GT03860BEDV,Postage,BUYER,BUYER NAME,04/09/2024,06/28/2024,USD,20.00,USD,0.00,20.00,20.00
GT03866BEDV,Postage,BUYER,BUYER NAME,06/07/2024,12/31/2024,USD,20.00,USD,0.00,20.00,20.00
GT03866BEDV,Postage,BUYER,BUYER NAME,06/07/2024,12/31/2024,USD,20.00,USD,0.00,20.00,20.00
GT03867BEDV,Postage,BUYER,BUYER NAME,04/10/2024,06/29/2024,USD,20.00,USD,0.00,20.00,20.00
GT03867BEDV,Postage,BUYER,BUYER NAME,04/10/2024,06/29/2024,USD,20.00,USD,20.00,20.00,0.00
GT03868BEDV,Postage,BUYER,BUYER NAME,04/10/2024,06/29/2024,USD,20.00,USD,20.00,20.00,0.00
GT03868BEDV,Postage,BUYER,BUYER NAME,04/10/2024,06/29/2024,USD,20.00,USD,0.00,20.00,20.00
