Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007273NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007274NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007275NM,C007275,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"3 000.00","3 000.00","2 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,5,"3 000.00","3 000.00","2 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007279NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007283NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007284NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007285NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007286NM,C007286,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP03,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,Counter Name OP04,Active,5,"14 080.00",0.00,0.00,64.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,5,"14 080.00",0.00,0.00,64.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007287NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007290NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007291NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007292NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007294NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007296NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007297NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007298NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007299NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007300NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007302NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007303NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007304NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007306NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007307NM,C007307,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007308NM,C007308,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007309NM,C007309,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007324NM,C007324,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007325NM,C007325,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007326NM,C007326,USD,"3 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007331NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007332NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007333NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"9 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007334NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"9 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007335NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007336NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007337NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007338NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007339NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007340NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007341NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007342NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","1 500.00","1 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","1 500.00","1 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007343NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"1 420.00","-5 080.00","1 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"1 420.00","-5 080.00","1 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007344NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007345NM,zoe004,USD,"4 500 000.00",,,,,,,,,,
,,,,,ABC Import Company,Active,2,"60 000.00",0.00,0.00,"54 000.00",0.00,
,,,,,FRTGRTG,Active,1,"4 800.00","4 800.00","4 320.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"64 800.00","4 800.00","4 320.00","54 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007347NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007348NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007349NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,-80.00,"-3 080.00","-2 464.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,-80.00,"-3 080.00","-2 464.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007350NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007351NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"1 420.00","-2 580.00",0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"1 420.00","-2 580.00",0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007352NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007353NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007354NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,-80.00,"-3 080.00","1 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,-80.00,"-3 080.00","1 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007355NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","5 500.00","4 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","5 500.00","4 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007356NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007357NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007358NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007359NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007361NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007362NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007364NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007366NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007367NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"200 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007368NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007369NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007370NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00",920.00,"1 136.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",920.00,"1 136.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007371NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","-4 580.00","-1 264.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","-4 580.00","-1 264.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007372NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","-4 580.00","-1 264.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","-4 580.00","-1 264.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007378NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007379NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
