Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007374NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,Total:,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007375NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","48 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,3,"60 000.00","60 000.00","48 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007376NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","3 000 000.00","2 400 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"3 000 000.00","3 000 000.00","2 400 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007381NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00",0.00,0.00,"2 400 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"3 000 000.00",0.00,0.00,"2 400 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007408NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007409NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007413NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007422NM,zoe005,USD,"100 000.00",,,,,,,,,,
,,,,,ABC Import Company,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,FRTGRTG,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
C007422NM,zoe006,EUR,"10 000 000.00",,,,,,,,,,
,,,,,ABC Import Company,Active,6,"16 700.00","5 500.00","4 950.00","10 080.00",0.00,
,,,,,FRTGRTG,Active,8,"27 900.00","27 900.00",0.00,"25 110.00","25 110.00",
,,,,,,,,,,,,,
,,,,,Total:,,14,"44 600.00","33 400.00","4 950.00","35 190.00","25 110.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007435 NM,SCFUS2203846,USD,"50 000.00",,,,,,,,,,
,,,,,C007436 NM,Active,7,"70 000.00","50 000.00","45 000.00","18 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"70 000.00","50 000.00","45 000.00","18 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007440NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007441NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007443NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007444NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007447NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007449NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007451NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007470NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007475NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007476NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007488NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007490NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007571NM,zoe007,EUR,"10 000 000.00",,,,,,,,,,
,,,,,ABC Import Company,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,FRTGRTG,Active,2,"11 000.00","11 000.00","9 900.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,4,"11 000.00","11 000.00","9 900.00",0.00,0.00,
C007571NM,zoe008,SEK,"1 000 000.00",,,,,,,,,,
,,,,,C007603NM,Active,2,"10 600.00",0.00,0.00,"9 540.00",0.00,
,,,,,C007604NM,Active,2,"11 000.00","11 000.00","9 900.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,4,"21 600.00","11 000.00","9 900.00","9 540.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007585NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007586NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007588NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007592NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007594NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007597NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007599NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007600NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007601NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007602NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007605NM,131640,USD,"50 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007610NM,131640,USD,"50 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,6,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,6,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007614NM,131640,USD,"50 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007617NM,131640,USD,"50 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,6,"60 000.00","60 000.00","23 400.00","23 400.00","23 400.00",
,,,,,,,,,,,,,
,,,,,,,6,"60 000.00","60 000.00","23 400.00","23 400.00","23 400.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007621NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007633NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007635NM,131640,USD,"50 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007636NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007637NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007639NM,131640,USD,"50 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007640NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,12,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,12,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007642NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,14,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007644NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007645 NM,C007645agrdocno,AED,"100 000.00",,,,,,,,,,
,,,,,SCFRAINIE61101,Active,1,"1 000.00","1 000.00",0.00,800.00,800.00,
,,,,,Customer Name 3165002,Active,1,"2 000.00","2 000.00",0.00,"1 600.00","1 600.00",
,,,,,,,,,,,,,
,,,,,,,2,"3 000.00","3 000.00",0.00,"2 400.00","2 400.00",
C007645 NM,SCFUS2204023,USD,"100 000.00",,,,,,,,,,
,,,,,C007646 NM,Active,12,"120 000.00","120 000.00","9 000.00","99 000.00","99 000.00",
,,,,,C007647 NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,C007648 NM,Active,7,0.00,0.00,0.00,"63 000.00","63 000.00",
,,,,,,,,,,,,,
,,,,,,,19,"120 000.00","120 000.00","9 000.00","162 000.00","162 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007668 NM,SCFUS2204045,USD,"100 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C007669 NM,Active,8,0.00,"-80 000.00",0.00,0.00,0.00,
,,,,,C007670 NM,Active,5,0.00,"-50 000.00",0.00,0.00,0.00,
,,,,,C007671 NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,C007672 NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,13,0.00,"- 130 000.00",0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007740NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007741NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007742NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007743NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007746NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007747NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007748NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007750NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007751NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007752NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007789NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007791NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007793NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007796NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
