Business Summary Report,
,,,
,
,
Buyer Name,Main Ref. No.,Currency,Limit Amount,Seller Name,Number of Invoices,Total Invoice Amount,Total Payment Amount,Total Invoice Balance
C010179nm,IFCSBANK2309000082PCA,,0.00,C010178nm,,0.00,0.00,0.00
C010181nm,IFCSBANK2309000372,USD,"100 000.00",C010180nm,,0.00,0.00,0.00
C010181nm,IFCSBANK2309000083PCA,,0.00,C010180nm,,0.00,0.00,0.00
C010184nm,IFCSBANK2309000373,USD,"100 000.00",C010182nm,,0.00,0.00,0.00
C010184nm,IFCSBANK2309000084PCA,,0.00,C010182nm,,0.00,0.00,0.00
C010195NM,IFCSBANK2309000361,USD,"100 000.00",C010194NM,,0.00,0.00,0.00
C010195NM,IFCSBANK2309000061PCA,,0.00,C010194NM,,0.00,0.00,0.00
C010195NM,IFCSBANK2309003379PCI,,0.00,C010194NM,,0.00,0.00,0.00
C010197nm,IFCSBANK2309000362,USD,"100 000.00",C010196nm,,0.00,0.00,0.00
C010197nm,IFCSBANK2309000062PCA,,0.00,C010196nm,,0.00,0.00,0.00
C010199nm,IFCSBANK2309000363,USD,"100 000.00",C010198nm,,0.00,0.00,0.00
C010199nm,IFCSBANK2309000063PCA,,0.00,C010198nm,,0.00,0.00,0.00
C010199nm,IFCSBANK2309003382PCI,,0.00,C010198nm,,0.00,0.00,0.00
C010250nm,IFCSBANK2309000091PCA,,0.00,C010249nm,,0.00,0.00,0.00
C010252nm,IFCSBANK2309000092PCA,,0.00,C010251nm,,0.00,0.00,0.00
C010254nm,IFCSBANK2309000093PCA,,0.00,C010253nm,,0.00,0.00,0.00
C010256nm,IFCSBANK2309000094PCA,,0.00,C010255nm,,0.00,0.00,0.00
C010258nm,IFCSBANK2309000095PCA,,0.00,C010257nm,,0.00,0.00,0.00
C010260nm,IFCSBANK2309000096PCA,,0.00,C010259nm,,0.00,0.00,0.00
C010262nm,IFCSBANK2309000364,USD,"100 000.00",C010261nm,,0.00,0.00,0.00
C010262nm,IFCSBANK2309000097PCA,,0.00,C010261nm,,0.00,0.00,0.00
C010262nm,IFCSBANK2309003384PCI,,0.00,C010261nm,,0.00,0.00,0.00
C010264nm,IFCSBANK2309000098PCA,,0.00,C010263nm,,0.00,0.00,0.00
C010266nm,IFCSBANK2309000099PCA,,0.00,C010265nm,,0.00,0.00,0.00
C010268nm,IFCSBANK2309000100PCA,,0.00,C010267nm,,0.00,0.00,0.00
C010270nm,IFCSBANK2309000101PCA,,0.00,C010269nm,,0.00,0.00,0.00
C010272nm,IFCSBANK2309000102PCA,,0.00,C010271nm,,0.00,0.00,0.00
C010274nm,IFCSBANK2309000103PCA,,0.00,C010273nm,,0.00,0.00,0.00
C010276nm,IFCSBANK2309000104PCA,,0.00,C010275nm,,0.00,0.00,0.00
C010281nm,IFCSBANK2309000401,USD,"100 000.00",C010280nm,,0.00,0.00,0.00
C010281nm,IFCSBANK2309000105PCA,,0.00,C010280nm,,0.00,0.00,0.00
C010281nm,IFCSBANK2309003386PCI,,0.00,C010280nm,,0.00,0.00,0.00
C010285nm,IFCSBANK2309000402,USD,"100 000.00",C010284nm,,0.00,0.00,0.00
C010285nm,IFCSBANK2309000106PCA,,0.00,C010284nm,,0.00,0.00,0.00
,,,,,,,,,
C010285nm,IFCSBANK2309003388PCI,,0.00,C010284nm,,0.00,0.00,0.00
C010287nm,IFCSBANK2309000107PCA,,0.00,C010286nm,,0.00,0.00,0.00
C010289nm,IFCSBANK2309000108PCA,,0.00,C010288nm,,0.00,0.00,0.00
C010291nm,IFCSBANK2309000403,USD,"100 000.00",C010290nm,,0.00,0.00,0.00
C010291nm,IFCSBANK2309000109PCA,,0.00,C010290nm,,0.00,0.00,0.00
C010291nm,IFCSBANK2309003390PCI,,0.00,C010290nm,,0.00,0.00,0.00
C010295nm,IFCSBANK2309000404,USD,"100 000.00",C010294nm,,0.00,0.00,0.00
C010295nm,IFCSBANK2309000110PCA,,0.00,C010294nm,,0.00,0.00,0.00
C010295nm,IFCSBANK2309003392PCI,,0.00,C010294nm,,0.00,0.00,0.00
C010297nm,IFCSBANK2309000405,USD,"100 000.00",C010296nm,,0.00,0.00,0.00
C010297nm,IFCSBANK2309000111PCA,,0.00,C010296nm,,0.00,0.00,0.00
C010297nm,IFCSBANK2309003394PCI,,0.00,C010296nm,,0.00,0.00,0.00
C010299nm,IFCSBANK2309000406,USD,"100 000.00",C010298nm,,0.00,0.00,0.00
C010299nm,IFCSBANK2309000112PCA,,0.00,C010298nm,,0.00,0.00,0.00
C010299nm,IFCSBANK2309003396PCI,,0.00,C010298nm,,0.00,0.00,0.00
C010303nm,IFCSBANK2309000407,USD,"100 000.00",C010302nm,,0.00,0.00,0.00
C010303nm,IFCSBANK2309000113PCA,,0.00,C010302nm,,0.00,0.00,0.00
C010303nm,IFCSBANK2309003398PCI,,0.00,C010302nm,,0.00,0.00,0.00
C010305nm,IFCSBANK2309000408,USD,"100 000.00",C010304nm,,0.00,0.00,0.00
C010305nm,IFCSBANK2309000114PCA,,0.00,C010304nm,,0.00,0.00,0.00
C010305nm,IFCSBANK2309003400PCI,,0.00,C010304nm,,0.00,0.00,0.00
C010307nm,IFCSBANK2309000409,USD,"100 000.00",C010306nm,,0.00,0.00,0.00
C010307nm,IFCSBANK2309000115PCA,,0.00,C010306nm,,0.00,0.00,0.00
C010307nm,IFCSBANK2309003402PCI,,0.00,C010306nm,,0.00,0.00,0.00
C010310nm,IFCSBANK2309000410,USD,"100 000.00",C010309nm,,0.00,0.00,0.00
C010310nm,IFCSBANK2309000116PCA,,0.00,C010309nm,,0.00,0.00,0.00
C010310nm,IFCSBANK2309003404PCI,,0.00,C010309nm,,0.00,0.00,0.00
C010312nm,IFCSBANK2309000411,USD,"100 000.00",C010311nm,,0.00,0.00,0.00
C010312nm,IFCSBANK2309000411,USD,"100 000.00",C010311nm,3,"6 000.00",0.00,"6 000.00"
C010312nm,IFCSBANK2309000411,USD,"100 000.00",C010311nm,3,"6 000.00",0.00,"6 000.00"
C010312nm,IFCSBANK2309000411,USD,"100 000.00",C010311nm,3,"6 000.00",0.00,"6 000.00"
C010312nm,IFCSBANK2309000117PCA,,0.00,C010311nm,,0.00,0.00,0.00
C010312nm,IFCSBANK2309003406PCI,,0.00,C010311nm,,0.00,0.00,0.00
C010314nm,IFCSBANK2309000412,USD,"100 000.00",C010313nm,,0.00,"12 000.00",0
C010314nm,IFCSBANK2309000412,USD,"100 000.00",C010313nm,6,"12 000.00",0.00,"12 000.00"
C010314nm,IFCSBANK2309000118PCA,,0.00,C010313nm,,0.00,0.00,0.00
C010314nm,IFCSBANK2309003409PCI,,0.00,C010313nm,,0.00,0.00,0.00
C010316nm,IFCSBANK2309000413,USD,"100 000.00",C010315nm,,0.00,0.00,0.00
C010316nm,IFCSBANK2309000119PCA,,0.00,C010315nm,,0.00,0.00,0.00
C010316nm,IFCSBANK2309003411PCI,,0.00,C010315nm,,0.00,0.00,0.00
,,,,,,,,,
C010318nm,IFCSBANK2309000414,USD,"100 000.00",C010317nm,,0.00,0.00,0.00
C010318nm,IFCSBANK2309000120PCA,,0.00,C010317nm,,0.00,0.00,0.00
C010318nm,IFCSBANK2309003413PCI,,0.00,C010317nm,,0.00,0.00,0.00
C010322nm,IFCSBANK2309000415,USD,"100 000.00",C010321nm,,0.00,0.00,0.00
C010322nm,IFCSBANK2309000121PCA,,0.00,C010321nm,,0.00,0.00,0.00
C010322nm,IFCSBANK2309003415PCI,,0.00,C010321nm,,0.00,0.00,0.00
C010324nm,IFCSBANK2309000416,USD,"100 000.00",C010323nm,,0.00,0.00,0.00
C010324nm,IFCSBANK2309000122PCA,,0.00,C010323nm,,0.00,0.00,0.00
C010324nm,IFCSBANK2309003418PCI,,0.00,C010323nm,,0.00,0.00,0.00
C010326nm,IFCSBANK2309000417,USD,"100 000.00",C010325nm,,0.00,0.00,0.00
C010326nm,IFCSBANK2309000123PCA,,0.00,C010325nm,,0.00,0.00,0.00
C010326nm,IFCSBANK2309003421PCI,,0.00,C010325nm,,0.00,0.00,0.00
C010335nm,IFCSBANK2309000418,USD,"100 000.00",C010334nm,,0.00,0.00,0.00
C010335nm,IFCSBANK2309000124PCA,,0.00,C010334nm,,0.00,0.00,0.00
C010335nm,IFCSBANK2309003423PCI,,0.00,C010334nm,,0.00,0.00,0.00
C010343nm,IFCSBANK2309000419,USD,"100 000.00",C010342nm,3,"6 000.00",0.00,"6 000.00"
C010343nm,IFCSBANK2309000419,USD,"100 000.00",C010342nm,,0.00,"6 000.00",0
C010343nm,IFCSBANK2309000125PCA,,0.00,C010342nm,,0.00,0.00,0.00
C010343nm,IFCSBANK2309003425PCI,,0.00,C010342nm,,0.00,0.00,0.00
C010345nm,IFCSBANK2309000420,USD,"100 000.00",C010344nm,,0.00,"6 000.00",0
C010345nm,IFCSBANK2309000420,USD,"100 000.00",C010344nm,3,"6 000.00",0.00,"6 000.00"
C010345nm,IFCSBANK2309000126PCA,,0.00,C010344nm,,0.00,0.00,0.00
C010345nm,IFCSBANK2309003427PCI,,0.00,C010344nm,,0.00,0.00,0.00
C010347nm,IFCSBANK2309000421,USD,"100 000.00",C010346nm,,0.00,"6 000.00",0
C010347nm,IFCSBANK2309000421,USD,"100 000.00",C010346nm,3,"6 000.00",0.00,"6 000.00"
C010347nm,IFCSBANK2309000127PCA,,0.00,C010346nm,,0.00,0.00,0.00
C010347nm,IFCSBANK2309003429PCI,,0.00,C010346nm,,0.00,0.00,0.00
C010351nm,IFCSBANK2309000422,USD,"100 000.00",C010350nm,3,"6 000.00",0.00,"6 000.00"
C010351nm,IFCSBANK2309000422,USD,"100 000.00",C010350nm,,0.00,"6 000.00",0
C010351nm,IFCSBANK2309000128PCA,,0.00,C010350nm,,0.00,0.00,0.00
C010351nm,IFCSBANK2309003431PCI,,0.00,C010350nm,,0.00,0.00,0.00
C010353nm,IFCSBANK2309000423,USD,"100 000.00",C010352nm,,0.00,"6 000.00",0
C010353nm,IFCSBANK2309000423,USD,"100 000.00",C010352nm,3,"6 000.00",0.00,"6 000.00"
C010353nm,IFCSBANK2309000129PCA,,0.00,C010352nm,,0.00,0.00,0.00
C010353nm,IFCSBANK2309003433PCI,,0.00,C010352nm,,0.00,0.00,0.00
C010356nm,IFCSBANK2309000424,USD,"100 000.00",C010355nm,3,"6 000.00",0.00,"6 000.00"
C010356nm,IFCSBANK2309000424,USD,"100 000.00",C010355nm,,0.00,"6 000.00",0
C010356nm,IFCSBANK2309000130PCA,,0.00,C010355nm,,0.00,0.00,0.00
C010356nm,IFCSBANK2309003435PCI,,0.00,C010355nm,,0.00,0.00,0.00
C010358nm,IFCSBANK2309000131PCA,,0.00,C010357nm,,0.00,0.00,0.00
,,,,,,,,,
C010361nm,IFCSBANK2309000425,USD,"100 000.00",C010360nm,3,"6 000.00",0.00,"6 000.00"
C010361nm,IFCSBANK2309000132PCA,,0.00,C010360nm,,0.00,0.00,0.00
C010361nm,IFCSBANK2309003437PCI,,0.00,C010360nm,,0.00,0.00,0.00
C010363nm,IFCSBANK2309000426,USD,"100 000.00",C010362nm,,0.00,"6 000.00",0
C010363nm,IFCSBANK2309000426,USD,"100 000.00",C010362nm,3,"6 000.00",0.00,"6 000.00"
C010363nm,IFCSBANK2309000133PCA,,0.00,C010362nm,,0.00,0.00,0.00
C010363nm,IFCSBANK2309003439PCI,,0.00,C010362nm,,0.00,0.00,0.00
C010367nm,IFCSBANK2309000427,USD,"100 000.00",C010366nm,3,"6 000.00",0.00,"6 000.00"
C010367nm,IFCSBANK2309000427,USD,"100 000.00",C010366nm,,0.00,"6 000.00",0
C010367nm,IFCSBANK2309000134PCA,,0.00,C010366nm,,0.00,0.00,0.00
C010436nm,IFCSBANK2309000201PCA,,0.00,C010434nm,,0.00,0.00,0.00
C010443nm,IFCSBANK2309000202PCA,,0.00,C010442nm,,0.00,0.00,0.00
C010447nm,IFCSBANK2309000451,USD,"100 000.00",C010446nm,3,"6 000.00",0.00,"6 000.00"
C010447nm,IFCSBANK2309000203PCA,,0.00,C010446nm,,0.00,0.00,0.00
C010447nm,IFCSBANK2309003443PCI,,0.00,C010446nm,,0.00,0.00,0.00
C010452nm,IFCSBANK2309000452,USD,"100 000.00",C010451nm,,0.00,"6 000.00",0
C010452nm,IFCSBANK2309000452,USD,"100 000.00",C010451nm,3,"6 000.00",0.00,"6 000.00"
C010452nm,IFCSBANK2309000204PCA,,0.00,C010451nm,,0.00,0.00,0.00
C010452nm,IFCSBANK2309003445PCI,,0.00,C010451nm,,0.00,0.00,0.00
C010632nm,IFCSBANK2310000201PCA,,0.00,C010631nm,,0.00,0.00,0.00
C010634nm,IFCSBANK2310000451,USD,"100 000.00",C010633nm,3,"6 000.00",0.00,"6 000.00"
C010634nm,IFCSBANK2310000451,USD,"100 000.00",C010633nm,,0.00,"6 000.00",0
C010634nm,IFCSBANK2310000202PCA,,0.00,C010633nm,,0.00,0.00,0.00
C010634nm,IFCSBANK2310003447PCI,,0.00,C010633nm,,0.00,0.00,0.00
C010780nm,IFCSBANK2310000301PCA,,0.00,C010779nm,,0.00,0.00,0.00
C010783nm,IFCSBANK2310000302PCA,,0.00,C010782nm,,0.00,0.00,0.00
C010786nm,IFCSBANK2310000501,USD,"100 000.00",C010785nm,3,"6 000.00",0.00,"6 000.00"
C010786nm,IFCSBANK2310000303PCA,,0.00,C010785nm,,0.00,0.00,0.00
C010786nm,IFCSBANK2310003449PCI,,0.00,C010785nm,,0.00,0.00,0.00
C010792nm,IFCSBANK2310000502,USD,"100 000.00",C010791nm,3,"6 000.00",0.00,"6 000.00"
C010792nm,IFCSBANK2310000502,USD,"100 000.00",C010791nm,,0.00,"6 000.00",0
C010792nm,IFCSBANK2310000304PCA,,0.00,C010791nm,,0.00,0.00,0.00
C010792nm,IFCSBANK2310003451PCI,,0.00,C010791nm,,0.00,0.00,0.00
C010873nm,IFCSBANK2310000503,USD,"100 000.00",C010872nm,3,"6 000.00",0.00,"6 000.00"
C010873nm,IFCSBANK2310000503,USD,"100 000.00",C010872nm,,0.00,"6 000.00",0
C010873nm,IFCSBANK2310000305PCA,,0.00,C010872nm,,0.00,0.00,0.00
C010873nm,IFCSBANK2310003453PCI,,0.00,C010872nm,,0.00,0.00,0.00
C010897nm,IFCSBANK2310000504,USD,"100 000.00",C010896nm,,0.00,0.00,0.00
C010897nm,IFCSBANK2310000306PCA,,0.00,C010896nm,,0.00,0.00,0.00
C010897nm,IFCSBANK2310003455PCI,,0.00,C010896nm,,0.00,0.00,0.00
,,,,,,,,,
C011024nm,IFCSBANK2311000307PCA,,0.00,C011023nm,,0.00,0.00,0.00
C011028nm,IFCSBANK2311000308PCA,,0.00,C011027nm,,0.00,0.00,0.00
C011028nm,IFCSBANK2311000505,,0.00,C011027nm,,0.00,0.00,0.00
C011046nm,IFCSBANK2311000309PCA,,0.00,C011045nm,,0.00,0.00,0.00
C011048nm,IFCSBANK2311000506,USD,"100 000.00",C011047nm,,0.00,"6 000.00",0
C011048nm,IFCSBANK2311000506,USD,"100 000.00",C011047nm,3,"6 000.00",0.00,"6 000.00"
C011048nm,IFCSBANK2311000310PCA,,0.00,C011047nm,,0.00,0.00,0.00
C011048nm,IFCSBANK2311003457PCI,,0.00,C011047nm,,0.00,0.00,0.00
C011059nm,IFCSBANK2311000312PCA,,0.00,C011058nm,,0.00,0.00,0.00
C011061nm,IFCSBANK2311000507,USD,"100 000.00",C011060nm,,0.00,0.00,0.00
C011061nm,IFCSBANK2311000313PCA,,0.00,C011060nm,,0.00,0.00,0.00
C011061nm,IFCSBANK2311003459PCI,,0.00,C011060nm,,0.00,0.00,0.00
C011075nm,IFCSBANK2311000314PCA,,0.00,C011074nm,,0.00,0.00,0.00
C011077nm,IFCSBANK2311000315PCA,,0.00,C011076nm,,0.00,0.00,0.00
C011079nm,IFCSBANK2311000508,USD,"2 000.00",C011078nm,3,"6 000.00",0.00,"6 000.00"
C011079nm,IFCSBANK2311000316PCA,,0.00,C011078nm,,0.00,0.00,0.00
C011079nm,IFCSBANK2311003461PCI,,0.00,C011078nm,,0.00,0.00,0.00
C011083nm,IFCSBANK2311000509,USD,"2 000.00",C011082nm,3,"6 000.00",0.00,"6 000.00"
C011083nm,IFCSBANK2311000317PCA,,0.00,C011082nm,,0.00,0.00,0.00
C011083nm,IFCSBANK2311003463PCI,,0.00,C011082nm,,0.00,0.00,0.00
C011087nm,IFCSBANK2311000510,USD,"2 000.00",C011086nm,3,"6 000.00",0.00,"6 000.00"
C011087nm,IFCSBANK2311000318PCA,,0.00,C011086nm,,0.00,0.00,0.00
C011087nm,IFCSBANK2311003465PCI,,0.00,C011086nm,,0.00,0.00,0.00
C011091nm,IFCSBANK2311000511,USD,"10 000.00",C011090nm,3,"6 000.00",0.00,"6 000.00"
C011091nm,IFCSBANK2311000511,USD,"10 000.00",C011090nm,,0.00,"6 000.00",0
C011091nm,IFCSBANK2311000319PCA,,0.00,C011090nm,,0.00,0.00,0.00
C011091nm,IFCSBANK2311003467PCI,,0.00,C011090nm,,0.00,0.00,0.00
C011093nm,IFCSBANK2311000512,USD,"10 000.00",C011092nm,3,"6 000.00",0.00,"6 000.00"
C011093nm,IFCSBANK2311000512,USD,"10 000.00",C011092nm,,0.00,"6 000.00",0
C011093nm,IFCSBANK2311000320PCA,,0.00,C011092nm,,0.00,0.00,0.00
C011093nm,IFCSBANK2311003469PCI,,0.00,C011092nm,,0.00,0.00,0.00
C011095nm,IFCSBANK2311000513,USD,"10 000.00",C011094nm,,0.00,"6 000.00",0
C011095nm,IFCSBANK2311000513,USD,"10 000.00",C011094nm,3,"6 000.00",0.00,"6 000.00"
C011095nm,IFCSBANK2311000321PCA,,0.00,C011094nm,,0.00,0.00,0.00
C011095nm,IFCSBANK2311003471PCI,,0.00,C011094nm,,0.00,0.00,0.00
C011101nm,IFCSBANK2311000322PCA,,0.00,C011100nm,,0.00,0.00,0.00
C011103nm,IFCSBANK2311000323PCA,,0.00,C011102nm,,0.00,0.00,0.00
C011105nm,IFCSBANK2311000324PCA,,0.00,C011104nm,,0.00,0.00,0.00
C011107nm,IFCSBANK2311000325PCA,,0.00,C011106nm,,0.00,0.00,0.00
C011109nm,IFCSBANK2311000326PCA,,0.00,C011108nm,,0.00,0.00,0.00
,,,,,,,,,
C011111nm,IFCSBANK2311000327PCA,,0.00,C011110nm,,0.00,0.00,0.00
C011113nm,IFCSBANK2311000328PCA,,0.00,C011112nm,,0.00,0.00,0.00
C011115nm,IFCSBANK2311000329PCA,,0.00,C011114nm,,0.00,0.00,0.00
C011117nm,IFCSBANK2311000330PCA,,0.00,C011116nm,,0.00,0.00,0.00
C011119nm,IFCSBANK2311000331PCA,,0.00,C011118nm,,0.00,0.00,0.00
C011121nm,IFCSBANK2311000514,USD,"100 000.00",C011120nm,,0.00,0.00,0.00
C011121nm,IFCSBANK2311000332PCA,,0.00,C011120nm,,0.00,0.00,0.00
C011121nm,IFCSBANK2311003473PCI,,0.00,C011120nm,,0.00,0.00,0.00
C011123nm,IFCSBANK2311000515,USD,"100 000.00",C011122nm,,0.00,0.00,0.00
C011123nm,IFCSBANK2311000333PCA,,0.00,C011122nm,,0.00,0.00,0.00
C011123nm,IFCSBANK2311003475PCI,,0.00,C011122nm,,0.00,0.00,0.00
C011125nm,IFCSBANK2311000516,USD,"100 000.00",C011124nm,,0.00,0.00,0.00
C011125nm,IFCSBANK2311000334PCA,,0.00,C011124nm,,0.00,0.00,0.00
C011125nm,IFCSBANK2311003477PCI,,0.00,C011124nm,,0.00,0.00,0.00
C011127nm,IFCSBANK2311000517,USD,"100 000.00",C011126nm,,0.00,0.00,0.00
C011127nm,IFCSBANK2311000335PCA,,0.00,C011126nm,,0.00,0.00,0.00
C011127nm,IFCSBANK2311003479PCI,,0.00,C011126nm,,0.00,0.00,0.00
C011129nm,IFCSBANK2311000518,USD,"100 000.00",C011128nm,3,"6 000.00",0.00,"6 000.00"
C011129nm,IFCSBANK2311000518,USD,"100 000.00",C011128nm,,0.00,"6 000.00",0
C011129nm,IFCSBANK2311000336PCA,,0.00,C011128nm,,0.00,0.00,0.00
C011129nm,IFCSBANK2311003481PCI,,0.00,C011128nm,,0.00,0.00,0.00
C011137nm,IFCSBANK2311000519,USD,"100 000.00",C011136nm,,0.00,0.00,0.00
C011137nm,IFCSBANK2311000337PCA,,0.00,C011136nm,,0.00,0.00,0.00
C011157nm,IFCSBANK2311000338PCA,,0.00,C011156nm,,0.00,0.00,0.00
C011159nm,IFCSBANK2311000520,USD,"100 000.00",C011158nm,3,"6 000.00",0.00,"6 000.00"
C011159nm,IFCSBANK2311000520,USD,"100 000.00",C011158nm,,0.00,0.00,0.00
C011159nm,IFCSBANK2311000520,USD,"100 000.00",C011158nm,,0.00,"2 100.00",0
C011159nm,IFCSBANK2311000339PCA,,0.00,C011158nm,,0.00,0.00,0.00
C011159nm,IFCSBANK2311003483PCI,,0.00,C011158nm,,0.00,0.00,0.00
IF BUYER 1,IFCSBANK2405000301PCA,,0.00,,,0.00,0.00,0.00
IF BUYER AAA,IFCSBANK2405000302PCA,,0.00,,,0.00,0.00,0.00
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,4,"23 000.00",0.00,"23 000.00"
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,4,"23 000.00",0.00,"23 000.00"
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,4,"23 000.00",0.00,"23 000.00"
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,,0.00,"2 500.00",0
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,,0.00,0.00,0.00
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,,0.00,0.00,0.00
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,2,"20 000.00",0.00,"20 000.00"
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,,0.00,0.00,0.00
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,0,0.00,0.00,0.00
,,,,,,,,,
IF BUYER ABC,IFCSBANK2406000501,USD,"3 000.00",IF SELLER DEF,0,0.00,0.00,0.00
IF BUYER ABC,IFCSBANK2406000503,USD,"2 000 000.00",IF SELLER DEF,,0.00,0.00,0.00
IF BUYER ABC,IFCSBANK2406000305PCA,,0.00,IF SELLER DEF,,0.00,0.00,0.00
IF BUYER ABC,IFCSBANK2406003485PCI,,0.00,IF SELLER DEF,,0.00,0.00,0.00
IF BUYER BBB,IFCSBANK2405000303PCA,,0.00,,,0.00,0.00,0.00
IF BUYER BBB,IFCSBANK2406000304PCA,,0.00,IF SELLER BBB,,0.00,0.00,0.00
IF BUYER GHI,IFCSBANK2406000504,USD,"2 000 000.00",,,0.00,0.00,0.00
IF BUYER GHI,IFCSBANK2406000306PCA,,0.00,IF SELLER JKL,,0.00,0.00,0.00
IF BUYER GHI,IFCSBANK2406000307PCA,,0.00,IF SELLER JKL,,0.00,0.00,0.00
IF BUYER GHI,IFCSBANK2406003487PCI,,0.00,IF SELLER JKL,,0.00,0.00,0.00
IF BUYER MNO,IFCSBANK2406000505,USD,"2 000.00",IF SELLER PQR,,0.00,0.00,0.00
