Business Summary Report,
,,,
,
,
Seller Name,Agreement Document No,Main Ref. No.,Currency,Limit Amount,Buyer Name,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance
C010162nm,111222,EFCSBANK2309006036,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010164nm,,EFCSBANK2309005541SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010166nm,,EFCSBANK2309000047PCA,,0.00,C010167nm,,0,0.00,0.00,0.00,0.00,0.00
C010166nm,,EFCSBANK2309005542SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010166nm,111222,EFCSBANK2309006037,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010168nm,111222,EFCSBANK2309000021,USD,0.00,C010169nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010168nm,,EFCSBANK2309000048PCA,,0.00,C010169nm,,0,0.00,0.00,0.00,0.00,0.00
C010168nm,,EFCSBANK2309003378PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010168nm,111222,EFCSBANK2309005483PPF,,0.00,C010169nm,,0,0.00,0.00,0.00,0.00,0.00
C010168nm,,EFCSBANK2309005543SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010168nm,111222,EFCSBANK2309006038,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010170nm,,EFCSBANK2309005544SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010176nm,111222,EFCSBANK2309000022,USD,"100 000.00",C010177nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010176nm,,EFCSBANK2309000049PCA,,0.00,C010177nm,,0,0.00,0.00,0.00,0.00,0.00
C010176nm,,EFCSBANK2309005545SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010176nm,111222,EFCSBANK2309006039,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010178nm,,EFCSBANK2309000050PCA,,0.00,C010179nm,,0,0.00,0.00,0.00,0.00,0.00
C010178nm,,EFCSBANK2309005546SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010180nm,111222,EFCSBANK2309000023,USD,"100 000.00",C010181nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010180nm,,EFCSBANK2309000051PCA,,0.00,C010181nm,,0,0.00,0.00,0.00,0.00,0.00
C010180nm,,EFCSBANK2309005547SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010180nm,111222,EFCSBANK2309006041,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010182nm,111222,EFCSBANK2309000024,USD,"100 000.00",C010184nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010182nm,,EFCSBANK2309000052PCA,,0.00,C010184nm,,0,0.00,0.00,0.00,0.00,0.00
C010182nm,,EFCSBANK2309005548SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010182nm,111222,EFCSBANK2309006042,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010194NM,111222,EFCSBANK2309000012,USD,"100 000.00",C010195NM,Active,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
C010194NM,,EFCSBANK2309000016PCA,,0.00,C010195NM,,0,0.00,0.00,0.00,0.00,0.00
C010194NM,,EFCSBANK2309003380PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010194NM,,EFCSBANK2309003408PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010194NM,111222,EFCSBANK2309005484PPF,,0.00,C010195NM,,0,0.00,0.00,0.00,0.00,0.00
C010194NM,111222,EFCSBANK2309005485PPF,,0.00,C010195NM,,0,0.00,0.00,0.00,0.00,0.00
C010194NM,,EFCSBANK2309005549SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010194NM,111222,EFCSBANK2309006043,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010196nm,111222,EFCSBANK2309000013,USD,"100 000.00",C010197nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010196nm,,EFCSBANK2309000017PCA,,0.00,C010197nm,,0,0.00,0.00,0.00,0.00,0.00
C010196nm,,EFCSBANK2309005550SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010196nm,111222,EFCSBANK2309006044,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010198nm,111222,EFCSBANK2309000014,USD,"100 000.00",C010199nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010198nm,,EFCSBANK2309000018PCA,,0.00,C010199nm,,0,0.00,0.00,0.00,0.00,0.00
C010198nm,,EFCSBANK2309003383PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010198nm,111222,EFCSBANK2309005486PPF,,0.00,C010199nm,,0,0.00,0.00,0.00,0.00,0.00
C010198nm,,EFCSBANK2309005551SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010198nm,111222,EFCSBANK2309006045,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010211nm,,EFCSBANK2309000019PCA,,0.00,C010212nm,,0,0.00,0.00,0.00,0.00,0.00
C010211nm,,EFCSBANK2309005552SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010211nm,111222,EFCSBANK2309006046,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010214nm,,EFCSBANK2309000020PCA,,0.00,C010213nm,,0,0.00,0.00,0.00,0.00,0.00
C010214nm,,EFCSBANK2309005553SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010214nm,111222,EFCSBANK2309006047,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010217nm,,EFCSBANK2309000021PCA,,0.00,C010218nm,,0,0.00,0.00,0.00,0.00,0.00
C010217nm,,EFCSBANK2309005554SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010217nm,111222,EFCSBANK2309006048,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010225nm,,EFCSBANK2309000022PCA,,0.00,C010226nm,,0,0.00,0.00,0.00,0.00,0.00
C010225nm,,EFCSBANK2309005555SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010225nm,111222,EFCSBANK2309006049,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010227nm,,EFCSBANK2309000023PCA,,0.00,C010228nm,,0,0.00,0.00,0.00,0.00,0.00
C010227nm,,EFCSBANK2309005556SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010227nm,111222,EFCSBANK2309006050,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010229nm,,EFCSBANK2309000024PCA,,0.00,C010230nm,,0,0.00,0.00,0.00,0.00,0.00
C010229nm,111222,EFCSBANK2309006051,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010231nm,,EFCSBANK2309000025PCA,,0.00,C010232nm,,0,0.00,0.00,0.00,0.00,0.00
C010231nm,,EFCSBANK2309005558SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010231nm,111222,EFCSBANK2309006052,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010235nm,,EFCSBANK2309005560SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010237nm,,EFCSBANK2309005561SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010239nm,,EFCSBANK2309005562SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
C010241nm,,EFCSBANK2309005563SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010243nm,,EFCSBANK2309005564SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010245nm,,EFCSBANK2309000061PCA,,0.00,C010246nm,,0,0.00,0.00,0.00,0.00,0.00
C010245nm,,EFCSBANK2309005565SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010245nm,111222,EFCSBANK2309006053,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010249nm,,EFCSBANK2309000062PCA,,0.00,C010250nm,,0,0.00,0.00,0.00,0.00,0.00
C010249nm,,EFCSBANK2309005566SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010249nm,111222,EFCSBANK2309006054,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010251nm,,EFCSBANK2309000063PCA,,0.00,C010252nm,,0,0.00,0.00,0.00,0.00,0.00
C010251nm,,EFCSBANK2309005567SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010251nm,111222,EFCSBANK2309006055,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010253nm,,EFCSBANK2309000064PCA,,0.00,C010254nm,,0,0.00,0.00,0.00,0.00,0.00
C010253nm,,EFCSBANK2309005568SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010253nm,111222,EFCSBANK2309006056,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010255nm,,EFCSBANK2309000065PCA,,0.00,C010256nm,,0,0.00,0.00,0.00,0.00,0.00
C010255nm,,EFCSBANK2309005569SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010255nm,111222,EFCSBANK2309006057,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010257nm,,EFCSBANK2309000066PCA,,0.00,C010258nm,,0,0.00,0.00,0.00,0.00,0.00
C010257nm,,EFCSBANK2309005570SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010257nm,111222,EFCSBANK2309006058,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010259nm,,EFCSBANK2309000067PCA,,0.00,C010260nm,,0,0.00,0.00,0.00,0.00,0.00
C010259nm,,EFCSBANK2309005571SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010259nm,111222,EFCSBANK2309006059,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010261nm,111222,EFCSBANK2309000015,USD,"100 000.00",C010262nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010261nm,,EFCSBANK2309000068PCA,,0.00,C010262nm,,0,0.00,0.00,0.00,0.00,0.00
C010261nm,,EFCSBANK2309003385PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010261nm,111222,EFCSBANK2309005488PPF,,0.00,C010199nm,,0,0.00,0.00,0.00,0.00,0.00
C010261nm,,EFCSBANK2309005572SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010261nm,111222,EFCSBANK2309006060,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010263nm,111222,EFCSBANK2309000016,USD,0.00,C010264nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010263nm,,EFCSBANK2309000069PCA,,0.00,C010264nm,,0,0.00,0.00,0.00,0.00,0.00
C010263nm,,EFCSBANK2309005573SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010263nm,111222,EFCSBANK2309006061,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010265nm,,EFCSBANK2309000070PCA,,0.00,C010266nm,,0,0.00,0.00,0.00,0.00,0.00
C010265nm,,EFCSBANK2309005574SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010265nm,111222,EFCSBANK2309006062,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010267nm,111222,EFCSBANK2309000026,USD,0.00,C010268nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010267nm,,EFCSBANK2309000071PCA,,0.00,C010268nm,,0,0.00,0.00,0.00,0.00,0.00
C010267nm,,EFCSBANK2309005575SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010267nm,111222,EFCSBANK2309006063,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
C010269nm,111222,EFCSBANK2309000027,USD,0.00,C010270nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010269nm,,EFCSBANK2309000072PCA,,0.00,C010270nm,,0,0.00,0.00,0.00,0.00,0.00
C010269nm,,EFCSBANK2309005576SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010269nm,111222,EFCSBANK2309006064,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010271nm,111222,EFCSBANK2309000028,USD,0.00,C010272nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010271nm,,EFCSBANK2309000073PCA,,0.00,C010272nm,,0,0.00,0.00,0.00,0.00,0.00
C010271nm,,EFCSBANK2309005577SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010271nm,111222,EFCSBANK2309006065,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010273nm,111222,EFCSBANK2309000029,USD,0.00,C010274nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010273nm,,EFCSBANK2309000074PCA,,0.00,C010274nm,,0,0.00,0.00,0.00,0.00,0.00
C010273nm,,EFCSBANK2309005578SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
