Business Summary Report,
,,,
,
,
Applicant Name,Contract Document No,Limit Currency,Limit Amount,Max Loan Percentage,Batch No.,Inspect Institution Name,Total Collateral Value,Available Financing Amount,Financing Balance
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009717reg,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009720reg,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009721nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009725nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009727nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009729nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003469,WATER INSPECT,"3 000.00","2 400.00",0.00,
,,,,,,,,,,
,,,,,,,"3 000.00","2 400.00",0.00,
C009730nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009731nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003484,,369.00,295.20,0.00,
,,,,,,,,,,
,,,,,,,369.00,295.20,0.00,
C009732nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003470,WATER INSPECT,"3 000.00","2 400.00",0.00,
,,,,,,,,,,
,,,,,,,"3 000.00","2 400.00",0.00,
C009733nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003471,WATER INSPECT,"3 000.00","2 400.00",0.00,
,,,,,,,,,,
,,,,,,,"3 000.00","2 400.00",0.00,
C009734nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003472,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009735nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003473,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009736nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003474,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009737nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003475,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009738nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003476,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C009739nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003477,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009740nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003478,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C009852nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003479,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009853nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003480,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C009854nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009855nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009856nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003481,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009859nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009860nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003482,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
WATER WARE,TEST1,USD,"100 000.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
WATER INSPECT,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003485,WATER WARE,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C009943nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C009944nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003486,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009945nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003487,WATER INSPECT,"3 000.00","2 400.00",0.00,
,,,,,,,,,,
,,,,,,,"3 000.00","2 400.00",0.00,
C010747nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003488,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C010748nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003489,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C010855nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003490,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C010856nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003491,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C010857nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003492,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C010860nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003493,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C010863nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003494,WATER INSPECT,"6 000.00","4 800.00","1 000.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","1 000.00",
C010864nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003495,WATER INSPECT,"6 000.00","4 800.00","1 000.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","1 000.00",
C010865nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003496,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C011003nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,,,,
C011003nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C011004nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C011005nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C011006nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C011007nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003497,WATER INSPECT,"6 000.00","4 800.00","1 000.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","1 000.00",
C011008nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003498,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C011009nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003499,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C011010nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003500,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C011011nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003501,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C011012nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003502,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C011033nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003503,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C011042nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003504,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C011050nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003505,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C011052nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C011053nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003506,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
AATTEST,AGM231120,USD,"99 999.00",90,,,,,,
,,,,,REG003507,WATER INSPECT,"400 000.00","360 000.00",0.00,
,,,,,,,,,,
,,,,,,,"400 000.00","360 000.00",0.00,
AAATTEST,AGM231120,USD,"999 999.00",90,,,,,,
,,,,,REG003508,WATER INSPECT,"400 000.00","360 000.00",0.00,
,,,,,,,,,,
,,,,,,,"400 000.00","360 000.00",0.00,
C011135nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003509,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C011140nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003510,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C011148nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003511,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
C011149nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003512,WATER INSPECT,"4 500.00","3 600.00",0.00,
,,,,,,,,,,
,,,,,,,"4 500.00","3 600.00",0.00,
ABLTEST,TEST111,USD,"9 999 999.00",90,,,,,,
,,,,,REG003513,WATER INSPECT,"400 000.00","360 000.00","360 000.00",
,,,,,,,,,,
,,,,,,,"400 000.00","360 000.00","360 000.00",
C011164nm,C011164doc,USD,"500 000.00",80,,,,,,
,,,,,REG003514,ABL INSPECT,"86 000.00","68 800.00",0.00,
,,,,,,,,,,
,,,,,,,"86 000.00","68 800.00",0.00,
AAAATTEST,TEST2,USD,"99 999.00",90,,,,,,
,,,,,REG003515,WATER INSPECT,"6 000.00","5 400.00","5 400.00",
,,,,,,,,,,
,,,,,,,"6 000.00","5 400.00","5 400.00",
C012124nm,AGM231120,USD,"99 999.00",80,,,,,,
,,,,,REG003517,AAATTEST,"210 000.00","168 000.00",0.00,
,,,,,,,,,,
,,,,,,,"210 000.00","168 000.00",0.00,
Customer Name 3230001,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
